Col_id,Col_time,Col_item,Col_power,Col_current,Col_voltage,Col_electricity
78,2025-12-05 00:52:31,WAT,0.0,0.0,101.6,1426.0
79,2025-12-05 00:52:31,MAC,6.9,68.0,101.4,900.0
80,2025-12-05 00:55:32,AIR,2.1,28.0,102.2,889.0
81,2025-12-05 00:55:32,ICE,1.4,29.0,102.6,945.0
82,2025-12-05 00:55:32,WAT,0.0,0.0,101.6,1426.0
83,2025-12-05 00:55:32,MAC,6.9,68.0,101.4,900.0
84,2025-12-05 00:58:33,AIR,2.1,28.0,102.2,889.0
85,2025-12-05 00:58:33,ICE,1.4,29.0,102.6,945.0
86,2025-12-05 00:58:33,WAT,0.0,0.0,101.6,1426.0
87,2025-12-05 00:58:33,MAC,6.9,68.0,101.4,900.0
88,2025-12-05 05:40:47,AIR,2.1,28.0,102.2,889.0
89,2025-12-05 05:40:47,ICE,1.4,29.0,102.6,945.0
90,2025-12-05 05:40:47,WAT,0.0,0.0,101.6,1426.0
91,2025-12-05 05:40:47,MAC,6.9,68.0,101.4,900.0
92,2025-12-05 05:43:48,AIR,2.1,28.0,102.2,889.0
93,2025-12-05 05:43:48,ICE,1.4,29.0,102.6,945.0
94,2025-12-05 05:43:48,WAT,0.0,0.0,101.6,1426.0
95,2025-12-05 05:43:48,MAC,6.9,68.0,101.4,900.0
96,2025-12-05 05:46:49,AIR,2.1,28.0,102.2,889.0
97,2025-12-05 05:46:49,ICE,1.4,29.0,102.6,945.0
98,2025-12-05 05:46:49,WAT,0.0,0.0,101.6,1426.0
99,2025-12-05 05:46:49,MAC,6.9,68.0,101.4,900.0
100,2025-12-05 05:49:50,AIR,2.1,28.0,102.2,889.0
101,2025-12-05 05:49:50,ICE,41.3,522.0,102.9,1249.0
102,2025-12-05 05:49:50,WAT,0.0,0.0,101.6,1426.0
103,2025-12-05 05:49:50,MAC,6.9,68.0,101.4,900.0
104,2025-12-05 05:52:51,AIR,2.1,28.0,102.2,889.0
105,2025-12-05 05:52:51,ICE,41.3,522.0,102.9,1249.0
106,2025-12-05 05:52:51,WAT,0.0,0.0,101.6,1426.0
107,2025-12-05 05:52:51,MAC,6.9,68.0,101.4,900.0
108,2025-12-05 05:55:51,AIR,2.1,28.0,102.2,889.0
109,2025-12-05 05:55:51,ICE,41.3,522.0,102.9,1249.0
110,2025-12-05 05:55:51,WAT,0.0,0.0,101.6,1426.0
111,2025-12-05 05:55:51,MAC,6.9,68.0,101.4,900.0
112,2025-12-05 05:58:52,AIR,2.1,28.0,102.2,889.0
113,2025-12-05 05:58:52,ICE,41.3,522.0,102.9,1249.0
